FEATURE CARRIED,CONDITION RATING,VERBAL RATING
RIKERS ISLAND BRIDGE,4.324,FAIR
WESTCHESTER AVE,4.660,FAIR
E 156TH STREET,4.612,FAIR
E 161ST STREET,5.800,GOOD
E 163RD STREET,4.611,FAIR
THIRD AVE,4.563,FAIR
E 149TH ST/JACKSON AVE,4.817,FAIR
ST. MARYS & CONCORD,5.370,GOOD
WALES AVE,6.467,VGOOD
SOUTHERN BLVD,4.093,FAIR
BRUCKNER BLVD,6.067,VGOOD
MELROSE AVE,5.500,GOOD
E 149TH ST,4.592,FAIR
LEGGETT AVE,4.620,FAIR
LONGWOOD AVE,5.236,GOOD
LAFAYETTE AVE,5.365,GOOD
TIFFANY ST,5.078,GOOD
BARRETTO ST,5.813,GOOD
HUNTS POINT AVE,4.813,FAIR
FAILE ST,5.578,GOOD
BRYANT AVE,3.186,FAIR
WESTCHESTER AVE,5.778,GOOD
204TH ST PED BRDG,3.845,FAIR
E 177TH ST,5.278,GOOD
E TREMONT AVE,5.153,GOOD
WHITE PLAINS ROAD,4.781,FAIR
UNIONPORT ROAD,4.688,FAIR
WILLIAMSBRIDGE RD,4.985,FAIR
PELHAM BAY PK EQUES,3.339,FAIR
SHORE RD CIRCLE,7.000,VGOOD
GRAND CONCOURSE,3.688,FAIR
WALTON AVE,4.406,FAIR
GERARD AVE,5.422,GOOD
RIVER AVE,6.156,VGOOD
W TREMONT AVE,3.776,FAIR
W FORDHAM RD,5.694,GOOD
W 225TH ST,5.269,GOOD
W 230TH ST,5.125,GOOD
W 231ST ST,4.745,FAIR
W 233RD ST,5.275,GOOD
W 234TH ST,5.176,GOOD
E 144TH ST,5.847,GOOD
E 149TH ST,4.625,FAIR
CONCOURSE VILL AVE,3.969,FAIR
E 158TH ST,5.200,GOOD
E 161ST ST,5.050,GOOD
E 162ND ST,4.781,FAIR
E 165TH ST,4.300,FAIR
E 167TH ST,5.510,GOOD
E 168TH ST,4.641,FAIR
E 169TH ST,4.188,FAIR
E 170TH ST,6.333,VGOOD
ST PAULS PL PED BRDG,4.746,FAIR
CLAREMONT PKWY,6.458,VGOOD
E 173RD ST,4.875,FAIR
E 175TH ST,3.875,FAIR
E TREMONT AVE,6.350,VGOOD
E 178TH ST PED BRDG,4.921,FAIR
E 179TH ST PED BRDG,5.311,GOOD
E 180TH ST,3.844,FAIR
E 183TH ST,3.953,FAIR
E 188TH ST,4.094,FAIR
E 187TH ST,4.344,FAIR
FORDHAM RD - E 189TH ST,6.300,VGOOD
BEDFORD PARK BLVD,4.656,FAIR
GUN HILL RD,6.531,VGOOD
E 233RD ST,4.902,FAIR
E 241ST ST,4.639,FAIR
EASTCHESTER ROAD,4.472,FAIR
GUN HILL ROAD,5.516,GOOD
BEDFORD PARK BLVD,5.347,GOOD
W 205TH ST,5.514,GOOD
HUTCHINSON RVR PKWY,5.542,GOOD
EAST FORDHAM RD,5.467,GOOD
SOUTHERN BLVD,4.605,FAIR
CROTONA AVE,5.447,GOOD
BRONX BLVD S.B.,4.367,FAIR
BRONX BLVD N.B.,4.867,FAIR
BRONX BLVD S.B.,4.300,FAIR
BRONX BLVD N.B.,4.467,FAIR
PARK ROAD (204TH ST),4.655,FAIR
BOTANICAL GARDEN ROAD,4.833,FAIR
BOSTON ROAD,4.227,FAIR
FTBG N OF RTE 1 (HESTER BRDG),3.655,FAIR
E TREMONT AVE,4.361,FAIR
MAGNOLIA WAY,4.763,FAIR
SNUFF MILL ROAD,4.395,FAIR
GRAND CONCOURSE,6.333,VGOOD
EAGLE AVE,5.117,GOOD
GRAND CONCOURSE,4.754,FAIR
GRAND CONCOURSE,4.733,FAIR
GRAND CONCOURSE,4.754,FAIR
GRAND CONCOURSE,4.067,FAIR
GRAND CONCOURSE,4.833,FAIR
GRAND CONCOURSE,5.583,GOOD
GRAND CONCOURSE,4.714,FAIR
EAST FORDHAM RD,4.833,FAIR
GRAND CONCOURSE,4.265,FAIR
GRAND CONCOURSE,4.373,FAIR
GRAND CONCOURSE,5.406,GOOD
E 180TH ST,4.810,FAIR
GUN HILL ROAD,4.947,FAIR
GUN HILL ROAD,5.300,GOOD
E 233RD ST,4.233,FAIR
E 233RD ST,4.900,FAIR
LINCOLN ROAD,6.685,VGOOD
